ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
7316,RP Burl (ZIM),H,2017-2023,22,17,2,396,59,26.4,474,83.54,0,3,0
7317,RP Burl (ZIM),A,2017-2022,14,13,2,216,53,19.63,307,70.35,0,1,0
7318,RP Burl (ZIM),N,2018-2018,4,4,1,23,11*,7.66,48,47.91,0,0,1
7319,RP Burl (ZIM),T,2017-2023,40,34,5,635,59,21.89,829,76.59,0,4,1
7320,RP de Groen (NZ),H,1994-1994,1,1,0,2,2,2,3,66.66,0,0,0
7321,RP de Groen (NZ),A,1993-1994,5,4,3,10,7*,10,23,43.47,0,0,1
7322,RP de Groen (NZ),N,1994-1994,6,3,0,0,0,0,10,0,0,0,3
7323,RP de Groen (NZ),T,1993-1994,12,8,3,12,7*,2.4,36,33.33,0,0,4
7324,RP Lefebvre (NED),A,1996-2003,3,3,1,44,30,22,62,70.96,0,0,0
7325,RP Lefebvre (NED),N,1996-2003,8,8,4,127,45,31.75,218,58.25,0,0,0
7326,RP Lefebvre (NED),T,1996-2003,11,11,5,171,45,28.5,280,61.07,0,0,0
7327,RP Meredith (AUS),A,2021-2021,1,1,1,0,0*,-,0,-,0,0,0
7328,RP Meredith (AUS),T,2021-2021,1,1,1,0,0*,-,0,-,0,0,0
7329,RP Singh (IND),H,2005-2008,21,9,7,37,12*,18.5,67,55.22,0,0,0
7330,RP Singh (IND),H,1986-1986,2,-,-,-,-,-,-,-,-,-,-
7331,RP Singh (IND),A,2005-2011,24,7,3,59,23,14.75,140,42.14,0,0,2
7332,RP Singh (IND),N,2006-2009,13,4,0,8,4,2,35,22.85,0,0,1
7333,RP Singh (IND),T,2005-2011,58,20,10,104,23,10.4,242,42.97,0,0,3
7334,RP Singh (IND),T,1986-1986,2,-,-,-,-,-,-,-,-,-,-
7335,RP Snell (SA),H,1993-1996,11,7,3,126,63,31.5,141,89.36,0,1,0
7336,RP Snell (SA),A,1991-1994,21,16,3,150,51,11.53,156,96.15,0,1,1
7337,RP Snell (SA),N,1992-1993,10,5,2,46,20,15.33,33,139.39,0,0,0
7338,RP Snell (SA),T,1991-1996,42,28,8,322,63,16.1,330,97.57,0,2,1
7339,RPAH Wickramaratne (SL),H,1993-1993,3,2,0,4,3,2,6,66.66,0,0,0
7340,RPAH Wickramaratne (SL),T,1993-1993,3,2,0,4,3,2,6,66.66,0,0,0
7341,RR Beaton (WI),A,2017-2017,2,2,1,15,12*,15,51,29.41,0,0,0
7342,RR Beaton (WI),T,2017-2017,2,2,1,15,12*,15,51,29.41,0,0,0
7343,RR David (CAN),H,2008-2008,3,3,0,82,48,27.33,170,48.23,0,0,0
7344,RR David (CAN),N,2010-2010,1,-,-,-,-,-,-,-,-,-,-
7345,RR David (CAN),T,2008-2010,4,3,0,82,48,27.33,170,48.23,0,0,0
7346,RR Emrit (WI),A,2007-2007,2,2,1,13,13,13,35,37.14,0,0,0
7347,RR Emrit (WI),T,2007-2007,2,2,1,13,13,13,35,37.14,0,0,0
7348,RR Hendricks (SA),H,2018-2023,17,17,2,393,83*,26.2,516,76.16,0,3,0
7349,RR Hendricks (SA),A,2018-2022,10,10,0,301,102,30.1,378,79.62,1,2,1
7350,RR Hendricks (SA),T,2018-2023,27,27,2,694,102,27.76,894,77.62,1,5,1
7351,RR Kulkarni (IND),H,1983-1987,7,3,2,19,15,19,24,79.16,0,0,0
7352,RR Kulkarni (IND),A,1986-1986,1,1,1,5,5*,-,4,125,0,0,0
7353,RR Kulkarni (IND),N,1986-1986,2,1,0,9,9,9,11,81.81,0,0,0
7354,RR Kulkarni (IND),T,1983-1987,10,5,3,33,15,16.5,39,84.61,0,0,0
7355,RR Pant (IND),H,2018-2022,14,13,0,478,78,36.76,394,121.31,0,4,0
7356,RR Pant (IND),A,2019-2022,13,10,1,303,125*,33.66,316,95.88,1,1,3
7357,RR Pant (IND),N,2019-2019,3,3,0,84,48,28,101,83.16,0,0,0
7358,RR Pant (IND),T,2018-2022,30,26,1,865,125*,34.6,811,106.65,1,5,3
7359,RR Patel (KENYA),H,2008-2012,10,9,1,168,92,21,235,71.48,0,1,2
7360,RR Patel (KENYA),A,2008-2013,14,11,0,256,50,23.27,392,65.3,0,1,0
