ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
0,A Bagai (CAN),H,2006-2013,16,14,0,339,84,24.21,611,55.48,0,3,0
1,A Bagai (CAN),A,2003-2011,9,9,2,267,92*,38.14,425,62.82,0,2,0
2,A Bagai (CAN),N,2003-2011,37,37,6,1358,137*,43.8,1959,69.32,2,11,2
3,A Bagai (CAN),T,2003-2013,62,60,8,1964,137*,37.76,2995,65.57,2,16,2
4,A Balbirnie (IRE),H,2014-2022,30,29,0,880,135,30.34,1182,74.45,3,3,2
5,A Balbirnie (IRE),A,2010-2023,27,26,3,811,121*,35.26,1109,73.12,3,5,1
6,A Balbirnie (IRE),N,2010-2021,35,33,3,985,145*,32.83,1259,78.23,2,5,2
7,A Balbirnie (IRE),T,2010-2023,92,88,6,2676,145*,32.63,3550,75.38,8,13,5
8,A Bhandari (IND),N,2000-2004,2,1,1,0,0*,-,0,-,0,0,0
9,A Bhandari (IND),T,2000-2004,2,1,1,0,0*,-,0,-,0,0,0
10,A Bohara (NEPAL),H,2020-2020,2,2,2,13,8*,-,14,92.85,0,0,0
11,A Bohara (NEPAL),T,2020-2020,2,2,2,13,8*,-,14,92.85,0,0,0
12,A Codrington (CAN),H,2006-2006,2,2,0,14,7,7,20,70,0,0,0
13,A Codrington (CAN),A,2007-2007,1,1,0,5,5,5,7,71.42,0,0,0
14,A Codrington (CAN),N,2003-2007,6,5,0,28,16,5.6,65,43.07,0,0,2
15,A Codrington (CAN),T,2003-2007,9,8,0,47,16,5.87,92,51.08,0,0,2
16,A Dananjaya (SL),H,2012-2021,22,17,5,161,37,13.41,201,80.09,0,0,2
17,A Dananjaya (SL),A,2017-2019,10,7,0,50,17,7.14,74,67.56,0,0,1
18,A Dananjaya (SL),N,2017-2018,7,6,1,80,50*,16,142,56.33,0,1,0
19,A Dananjaya (SL),T,2012-2021,39,30,6,291,50*,12.12,417,69.78,0,1,3
20,A Dutt (NED),H,2021-2022,11,9,3,25,8*,4.16,52,48.07,0,0,2
21,A Dutt (NED),A,2022-2023,5,5,1,48,15,12,75,64,0,0,0
22,A Dutt (NED),N,2022-2022,1,1,0,4,4,4,8,50,0,0,0
23,A Dutt (NED),T,2021-2023,17,15,4,77,15,7,135,57.03,0,0,2
24,A Flintoff (ENG),H,1999-2008,56,44,9,1469,123,41.97,1500,97.93,3,8,2
25,A Flintoff (ENG),N,1999-2007,24,22,1,483,72*,23,647,74.65,0,3,3
26,A Flintoff (ENG/ICC),A,2000-2009,61,56,6,1442,84,28.84,1674,86.14,0,7,4
27,A Flintoff (ENG/ICC),T,1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9
28,A Flower (ZIM),H,1992-2003,62,58,5,1945,142*,36.69,2508,77.55,1,17,4
29,A Flower (ZIM),A,1992-2002,74,74,1,2297,89,31.46,3100,74.09,0,22,4
30,A Flower (ZIM),N,1992-2003,77,76,10,2544,145,38.54,3489,72.91,3,16,5
31,A Flower (ZIM),T,1992-2003,213,208,16,6786,145,35.34,9097,74.59,4,55,13
32,A Jadeja (IND),H,1993-2000,60,56,15,2129,116*,51.92,2916,73.01,4,14,2
33,A Jadeja (IND),A,1992-1999,54,53,7,1276,119,27.73,1927,66.21,1,5,4
34,A Jadeja (IND),N,1992-2000,82,70,14,1954,100*,34.89,2835,68.92,1,11,4
35,A Jadeja (IND),T,1992-2000,196,179,36,5359,119,37.47,7678,69.79,6,30,10
36,A Johnson (CAN),A,2023-2023,1,1,0,15,15,15,13,115.38,0,0,0
37,A Johnson (CAN),N,2023-2023,4,4,0,108,53,27,106,101.88,0,1,0
38,A Johnson (CAN),T,2023-2023,5,5,0,123,53,24.6,119,103.36,0,1,0
39,A Kumble (Asia/IND),N,1990-2007,101,50,16,387,24,11.38,643,60.18,0,0,3
40,A Kumble (Asia/IND),T,1990-2007,271,136,47,938,26,10.53,1536,61.06,0,0,18
41,A Kumble (IND),H,1990-2007,90,38,13,264,24,10.56,391,67.51,0,0,5
42,A Kumble (IND),A,1990-2006,80,48,18,287,26,9.56,502,57.17,0,0,10
43,A Kuruvilla (IND),H,1997-1997,3,1,0,1,1,1,3,33.33,0,0,0
44,A Kuruvilla (IND),A,1997-1997,12,7,2,22,7,4.4,32,68.75,0,0,1
45,A Kuruvilla (IND),N,1997-1997,10,3,2,3,1*,3,8,37.5,0,0,0
46,A Kuruvilla (IND),T,1997-1997,25,11,4,26,7,3.71,43,60.46,0,0,1
47,A Maregwede (ZIM),H,2003-2004,9,9,1,95,37,11.87,158,60.12,0,0,1
48,A Maregwede (ZIM),A,2005-2005,2,2,0,29,16,14.5,60,48.33,0,0,0
49,A Maregwede (ZIM),T,2003-2005,11,11,1,124,37,12.4,218,56.88,0,0,1
50,A Martin (WI),H,2011-2011,6,3,3,6,4*,-,17,35.29,0,0,0
51,A Martin (WI),A,2011-2011,3,3,2,4,3*,4,12,33.33,0,0,0
52,A Martin (WI),T,2011-2011,9,6,5,10,4*,10,29,34.48,0,0,0
53,A McGrath (ENG),H,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
54,A McGrath (ENG),T,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
55,A Mishra (IND),H,2013-2016,12,5,1,24,14,6,40,60,0,0,0
56,A Mishra (IND),A,2003-2014,16,5,1,18,9,4.5,41,43.9,0,0,2
57,A Mishra (IND),N,2003-2014,8,1,1,1,1*,-,1,100,0,0,0
58,A Mishra (IND),T,2003-2016,36,11,3,43,14,5.37,82,52.43,0,0,2
59,A Mithun (IND),H,2010-2011,4,2,0,47,24,23.5,39,120.51,0,0,0
60,A Mithun (IND),N,2010-2010,1,1,0,4,4,4,16,25,0,0,0
