ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
66,A Maregwede (ZIM),H,2003-2004,9,9,1,95,37,11.87,158,60.12,0,0,1
67,A Maregwede (ZIM),A,2005-2005,2,2,0,29,16,14.5,60,48.33,0,0,0
68,A Maregwede (ZIM),T,2003-2005,11,11,1,124,37,12.4,218,56.88,0,0,1
69,A Maregwede (ZIM),SENA,2005-2005,2,2,0,29,16,14.5,60,48.33,0,0,0
70,A Martin (WI),H,2011-2011,6,3,3,6,4*,-,17,35.29,0,0,0
71,A Martin (WI),A,2011-2011,3,3,2,4,3*,4,12,33.33,0,0,0
72,A Martin (WI),T,2011-2011,9,6,5,10,4*,10,29,34.48,0,0,0
73,A Martin (WI),BIS,2011-2011,3,3,2,4,3*,4,12,33.33,0,0,0
74,A McGrath (ENG),H,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
75,A McGrath (ENG),T,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
76,A McGrath (ENG),SENA,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
77,A Mishra (IND),H,2013-2016,12,5,1,24,14,6,40,60,0,0,0
78,A Mishra (IND),A,2003-2014,16,5,1,18,9,4.5,41,43.9,0,0,2
79,A Mishra (IND),N,2003-2014,8,1,1,1,1*,-,1,100,0,0,0
80,A Mishra (IND),T,2003-2016,36,11,3,43,14,5.37,82,52.43,0,0,2
81,A Mishra (IND),BIS,2003-2016,21,7,2,29,14,5.8,57,50.87,0,0,0
82,A Mishra (IND),SENA,2009-2009,2,-,-,-,-,-,-,-,-,-,-
83,A Mithun (IND),H,2010-2011,4,2,0,47,24,23.5,39,120.51,0,0,0
84,A Mithun (IND),N,2010-2010,1,1,0,4,4,4,16,25,0,0,0
85,A Mithun (IND),T,2010-2011,5,3,0,51,24,17,55,92.72,0,0,0
86,A Mithun (IND),BIS,2010-2011,5,3,0,51,24,17,55,92.72,0,0,0
87,A Nao (PNG),H,2017-2017,2,1,1,9,9*,-,9,100,0,0,0
88,A Nao (PNG),A,2017-2023,10,7,4,26,11,8.66,28,92.85,0,0,1
89,A Nao (PNG),N,2017-2023,14,12,5,91,46,13,97,93.81,0,0,0
90,A Nao (PNG),T,2017-2023,26,20,10,126,46,12.6,134,94.02,0,0,1
91,A Ndlovu (ZIM),A,2019-2019,2,-,-,-,-,-,-,-,-,-,-
92,A Ndlovu (ZIM),T,2019-2019,2,-,-,-,-,-,-,-,-,-,-
93,A Nehra (Asia/IND),N,2001-2010,44,13,6,27,8*,3.85,65,41.53,0,0,3
94,A Nehra (Asia/IND),T,2001-2011,120,46,21,141,24,5.64,246,57.31,0,0,9
95,A Nehra (Asia/IND),SENA,2002-2011,38,17,9,63,24,7.87,79,79.74,0,0,3
96,A Nehra (IND),H,2002-2011,33,11,3,37,16*,4.62,70,52.85,0,0,2
97,A Nehra (IND),A,2001-2011,43,22,12,77,24,7.7,111,69.36,0,0,4
98,A Nehra (IND),BIS,2001-2011,65,25,11,78,16*,5.57,159,49.05,0,0,3
99,A Neill (SCOT),H,2019-2022,3,2,1,2,2,2,13,15.38,0,0,0
100,A Neill (SCOT),A,2021-2022,2,1,1,14,14*,-,20,70,0,0,0
101,A Neill (SCOT),N,2022-2022,3,2,2,6,4*,-,6,100,0,0,0
102,A Neill (SCOT),T,2019-2022,8,5,4,22,14*,22,39,56.41,0,0,0
103,A Nel (SA),H,2001-2008,36,9,7,74,30*,37,58,127.58,0,0,0
104,A Nel (SA),A,2001-2008,30,6,2,31,13,7.75,43,72.09,0,0,0
105,A Nel (SA),N,2003-2007,13,7,3,22,12*,5.5,65,33.84,0,0,2
106,A Nel (SA),T,2001-2008,79,22,12,127,30*,12.7,166,76.5,0,0,2
107,A Nel (SA),BIS,2005-2008,10,4,2,12,12*,6,16,75,0,0,2
108,A Nel (SA),SENA,2001-2008,47,13,7,99,30*,16.5,95,104.21,0,0,0
109,A Nortje (SA),H,2019-2023,13,3,1,14,8,7,25,56,0,0,0
110,A Nortje (SA),A,2021-2022,8,3,0,16,10,5.33,21,76.19,0,0,1
111,A Nortje (SA),T,2019-2023,21,6,1,30,10,6,46,65.21,0,0,1
112,A Nortje (SA),BIS,2021-2022,3,1,0,0,0,0,1,0,0,0,1
113,A Nortje (SA),SENA,2019-2023,16,4,1,20,8,6.66,37,54.05,0,0,0
114,A Patel (CAN),A,2003-2003,1,-,-,-,-,-,-,-,-,-,-
115,A Patel (CAN),N,2003-2003,1,1,0,25,25,25,29,86.2,0,0,0
116,A Patel (CAN),T,2003-2003,2,1,0,25,25,25,29,86.2,0,0,0
117,A Patel (CAN),SENA,2003-2003,2,1,0,25,25,25,29,86.2,0,0,0
118,A Phillip (WI),H,2021-2022,2,1,1,21,21*,-,22,95.45,0,0,0
119,A Phillip (WI),A,2022-2022,3,1,0,1,1,1,3,33.33,0,0,0
120,A Phillip (WI),T,2021-2022,5,2,1,22,21*,22,25,88,0,0,0
121,A Ranatunga (SL),H,1982-1998,68,59,18,1908,131*,46.53,2215,86.13,2,14,2
122,A Ranatunga (SL),A,1982-1999,82,80,11,2233,102*,32.36,3026,73.79,1,12,5
123,A Ranatunga (SL),N,1983-1999,119,116,18,3315,101*,33.82,4330,76.55,1,23,11
124,A Ranatunga (SL),T,1982-1999,269,255,47,7456,131*,35.84,9571,77.9,4,49,18
125,A Ranatunga (SL),BIS,1982-1999,112,102,24,3223,131*,41.32,3904,82.55,2,24,5
126,A Ranatunga (SL),SENA,1983-1999,80,79,10,2330,101*,33.76,3126,74.53,1,15,8
127,A Ratra (IND),H,2002-2002,11,7,1,88,30,14.66,121,72.72,0,0,0
128,A Ratra (IND),A,2002-2002,1,1,0,2,2,2,6,33.33,0,0,0
129,A Ratra (IND),T,2002-2002,12,8,1,90,30,12.85,127,70.86,0,0,0
130,A Ratra (IND),BIS,2002-2002,11,7,1,88,30,14.66,121,72.72,0,0,0
131,A Ratra (IND),SENA,2002-2002,1,1,0,2,2,2,6,33.33,0,0,0
132,A Saud (NEPAL),H,2022-2022,3,3,0,60,51,20,116,51.72,0,1,1
133,A Saud (NEPAL),A,2022-2022,2,2,0,47,29,23.5,96,48.95,0,0,0
134,A Saud (NEPAL),N,2022-2022,2,2,0,18,18,9,47,38.29,0,0,1
135,A Saud (NEPAL),T,2022-2022,7,7,0,125,51,17.85,259,48.26,0,1,2
136,A Shahzad (ENG),H,2010-2010,2,1,0,5,5,5,9,55.55,0,0,0
137,A Shahzad (ENG),A,2010-2011,9,7,2,34,9,6.8,51,66.66,0,0,0
138,A Shahzad (ENG),T,2010-2011,11,8,2,39,9,6.5,60,65,0,0,0
139,A Shahzad (ENG),BIS,2010-2011,3,2,1,7,6*,7,5,140,0,0,0
140,A Shahzad (ENG),SENA,2010-2011,7,6,1,32,9,6.4,55,58.18,0,0,0
141,A Shamshudeen (CAN),A,2007-2007,1,1,0,3,3,3,28,10.71,0,0,0
142,A Shamshudeen (CAN),T,2007-2007,1,1,0,3,3,3,28,10.71,0,0,0
143,A Sharafu (UAE),H,2021-2023,7,7,0,44,21,6.28,71,61.97,0,0,2
144,A Sharafu (UAE),A,2022-2022,5,4,0,101,35,25.25,166,60.84,0,0,0
145,A Sharafu (UAE),N,2022-2022,2,1,0,22,22,22,25,88,0,0,0
146,A Sharafu (UAE),T,2021-2023,14,12,0,167,35,13.91,262,63.74,0,0,2
147,A Sharma (UAE),N,2023-2023,1,1,0,0,0,0,2,0,0,0,1
148,A Sharma (UAE),T,2023-2023,1,1,0,0,0,0,2,0,0,0,1
149,A Symonds (AUS),H,2000-2008,83,68,7,1768,151,28.98,1896,93.24,1,10,10
150,A Symonds (AUS),A,1998-2008,73,61,12,2122,156,43.3,2295,92.46,3,12,4
151,A Symonds (AUS),N,1999-2009,42,32,14,1198,143*,66.55,1313,91.24,2,8,1
152,A Symonds (AUS),T,1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15
153,A Symonds (AUS),BIS,1999-2007,35,29,9,1066,107*,53.3,1183,90.1,2,6,2
154,A Symonds (AUS),SENA,2000-2008,126,102,17,3141,156,36.95,3269,96.08,4,17,13
155,A Turner (AUS),H,1975-1975,1,1,0,46,46,46,50,92,0,0,0
156,A Turner (AUS),A,1975-1975,1,1,0,7,7,7,20,35,0,0,0
157,A Turner (AUS),N,1975-1975,4,4,0,194,101,48.5,239,81.17,1,0,0
158,A Turner (AUS),T,1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0
159,A Turner (AUS),SENA,1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0
160,A Vala (PNG),H,2017-2022,6,6,0,165,64,27.5,234,70.51,0,1,1
161,A Vala (PNG),A,2016-2023,23,23,1,837,70,38.04,1126,74.33,0,6,2
162,A Vala (PNG),N,2014-2023,37,37,0,1001,104,27.05,1532,65.33,1,5,2
163,A Vala (PNG),T,2014-2023,66,66,1,2003,104,30.81,2892,69.26,1,12,5
164,A Vala (PNG),SENA,2014-2014,2,2,0,16,10,8,23,69.56,0,0,0
165,A van der Merwe (IRE),H,2010-2011,3,-,-,-,-,-,-,-,-,-,-
166,A van der Merwe (IRE),A,2010-2010,6,6,2,15,8,3.75,25,60,0,0,2
167,A van der Merwe (IRE),T,2010-2011,9,6,2,15,8,3.75,25,60,0,0,2
168,A Zampa (AUS),H,2016-2022,23,10,4,77,22,12.83,107,71.96,0,0,1
169,A Zampa (AUS),A,2016-2023,43,24,9,138,36,9.2,238,57.98,0,0,2
170,A Zampa (AUS),N,2016-2019,13,3,1,1,1,0.5,4,25,0,0,1
171,A Zampa (AUS),T,2016-2023,79,37,14,216,36,9.39,349,61.89,0,0,4
172,A Zampa (AUS),BIS,2016-2023,19,8,3,34,10*,6.8,57,59.64,0,0,1
173,A Zampa (AUS),SENA,2016-2022,44,23,8,129,22,8.6,207,62.31,0,0,2
174,AA Donald (SA),H,1992-2003,63,11,5,19,6,3.16,56,33.92,0,0,2
175,AA Donald (SA),A,1991-2002,51,17,9,45,11,5.62,114,39.47,0,0,6
176,AA Donald (SA),N,1992-2002,50,12,4,31,13,3.87,109,28.44,0,0,4
