ID,Player,Location,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0
84,A Martin (WI),H,2011-2011,6,3,3,6,4*,-,17,35.29,0,0,0
85,A Martin (WI),A,2011-2011,3,3,2,4,3*,4,12,33.33,0,0,0
86,A Martin (WI),C,2011-2011,9,6,5,10,4*,10,29,34.48,0,0,0
87,A Martin (WI),B,2011-2011,3,3,2,4,3*,4,12,33.33,0,0,0
88,A Martin (WI),O,2011-2011,6,3,3,6,4*,-,17,35.29,0,0,0
89,A McGrath (ENG),H,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
90,A McGrath (ENG),C,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
91,A McGrath (ENG),S,2003-2004,14,12,2,166,52,16.6,353,47.02,0,1,1
92,A Mishra (IND),H,2013-2016,12,5,1,24,14,6,40,60,0,0,0
93,A Mishra (IND),A,2003-2014,16,5,1,18,9,4.5,41,43.9,0,0,2
94,A Mishra (IND),N,2003-2014,8,1,1,1,1*,-,1,100,0,0,0
95,A Mishra (IND),C,2003-2016,36,11,3,43,14,5.37,82,52.43,0,0,2
96,A Mishra (IND),B,2003-2016,21,7,2,29,14,5.8,57,50.87,0,0,0
97,A Mishra (IND),S,2009-2009,2,-,-,-,-,-,-,-,-,-,-
98,A Mishra (IND),O,2010-2013,13,4,1,14,9,4.66,25,56,0,0,2
99,A Mithun (IND),H,2010-2011,4,2,0,47,24,23.5,39,120.51,0,0,0
100,A Mithun (IND),N,2010-2010,1,1,0,4,4,4,16,25,0,0,0
101,A Mithun (IND),C,2010-2011,5,3,0,51,24,17,55,92.72,0,0,0
102,A Mithun (IND),B,2010-2011,5,3,0,51,24,17,55,92.72,0,0,0
103,A Nao (PNG),H,2017-2017,2,1,1,9,9*,-,9,100,0,0,0
104,A Nao (PNG),A,2017-2023,10,7,4,26,11,8.66,28,92.85,0,0,1
105,A Nao (PNG),N,2017-2023,14,12,5,91,46,13,97,93.81,0,0,0
106,A Nao (PNG),C,2017-2023,26,20,10,126,46,12.6,134,94.02,0,0,1
107,A Nao (PNG),O,2017-2023,26,20,10,126,46,12.6,134,94.02,0,0,1
108,A Ndlovu (ZIM),A,2019-2019,2,-,-,-,-,-,-,-,-,-,-
109,A Ndlovu (ZIM),C,2019-2019,2,-,-,-,-,-,-,-,-,-,-
110,A Ndlovu (ZIM),O,2019-2019,2,-,-,-,-,-,-,-,-,-,-
111,A Nehra (Asia/IND),N,2001-2010,44,13,6,27,8*,3.85,65,41.53,0,0,3
112,A Nehra (Asia/IND),C,2001-2011,120,46,21,141,24,5.64,246,57.31,0,0,9
113,A Nehra (Asia/IND),S,2002-2011,38,17,9,63,24,7.87,79,79.74,0,0,3
114,A Nehra (IND),H,2002-2011,33,11,3,37,16*,4.62,70,52.85,0,0,2
115,A Nehra (IND),A,2001-2011,43,22,12,77,24,7.7,111,69.36,0,0,4
116,A Nehra (IND),B,2001-2011,65,25,11,78,16*,5.57,159,49.05,0,0,3
117,A Nehra (IND),O,2001-2009,17,4,1,0,0*,0,8,0,0,0,3
118,A Neill (SCOT),H,2019-2022,3,2,1,2,2,2,13,15.38,0,0,0
119,A Neill (SCOT),A,2021-2022,2,1,1,14,14*,-,20,70,0,0,0
120,A Neill (SCOT),N,2022-2022,3,2,2,6,4*,-,6,100,0,0,0
121,A Neill (SCOT),C,2019-2022,8,5,4,22,14*,22,39,56.41,0,0,0
122,A Neill (SCOT),O,2019-2023,9,6,4,29,14*,14.5,41,70.73,0,0,0
123,A Nel (SA),H,2001-2008,36,9,7,74,30*,37,58,127.58,0,0,0
124,A Nel (SA),A,2001-2008,30,6,2,31,13,7.75,43,72.09,0,0,0
125,A Nel (SA),N,2003-2007,13,7,3,22,12*,5.5,65,33.84,0,0,2
126,A Nel (SA),C,2001-2008,79,22,12,127,30*,12.7,166,76.5,0,0,2
127,A Nel (SA),B,2005-2008,10,4,2,12,12*,6,16,75,0,0,2
128,A Nel (SA),S,2001-2008,47,13,7,99,30*,16.5,95,104.21,0,0,0
129,A Nel (SA),O,2001-2007,22,5,3,16,8,8,55,29.09,0,0,0
130,A Nortje (SA),H,2019-2023,13,3,1,14,8,7,25,56,0,0,0
131,A Nortje (SA),A,2021-2022,8,3,0,16,10,5.33,21,76.19,0,0,1
132,A Nortje (SA),C,2019-2023,21,6,1,30,10,6,46,65.21,0,0,1
133,A Nortje (SA),B,2021-2022,3,1,0,0,0,0,1,0,0,0,1
134,A Nortje (SA),S,2019-2023,16,4,1,20,8,6.66,37,54.05,0,0,0
135,A Nortje (SA),O,2021-2021,2,1,0,10,10,10,8,125,0,0,0
136,A Patel (CAN),A,2003-2003,1,-,-,-,-,-,-,-,-,-,-
137,A Patel (CAN),N,2003-2003,1,1,0,25,25,25,29,86.2,0,0,0
138,A Patel (CAN),C,2003-2003,2,1,0,25,25,25,29,86.2,0,0,0
139,A Patel (CAN),S,2003-2003,2,1,0,25,25,25,29,86.2,0,0,0
140,A Phillip (WI),H,2021-2022,2,1,1,21,21*,-,22,95.45,0,0,0
141,A Phillip (WI),A,2022-2022,3,1,0,1,1,1,3,33.33,0,0,0
142,A Phillip (WI),C,2021-2022,5,2,1,22,21*,22,25,88,0,0,0
143,A Phillip (WI),O,2021-2022,5,2,1,22,21*,22,25,88,0,0,0
144,A Ranatunga (SL),H,1982-1998,68,59,18,1908,131*,46.53,2215,86.13,2,14,2
145,A Ranatunga (SL),A,1982-1999,82,80,11,2233,102*,32.36,3026,73.79,1,12,5
146,A Ranatunga (SL),N,1983-1999,119,116,18,3315,101*,33.82,4330,76.55,1,23,11
147,A Ranatunga (SL),C,1982-1999,269,255,47,7456,131*,35.84,9571,77.9,4,49,18
148,A Ranatunga (SL),B,1982-1999,112,102,24,3223,131*,41.32,3904,82.55,2,24,5
149,A Ranatunga (SL),S,1983-1999,80,79,10,2330,101*,33.76,3126,74.53,1,15,8
150,A Ranatunga (SL),O,1982-1998,77,74,13,1903,102*,31.19,2541,74.89,1,10,5
151,A Ratra (IND),H,2002-2002,11,7,1,88,30,14.66,121,72.72,0,0,0
152,A Ratra (IND),A,2002-2002,1,1,0,2,2,2,6,33.33,0,0,0
153,A Ratra (IND),C,2002-2002,12,8,1,90,30,12.85,127,70.86,0,0,0
154,A Ratra (IND),B,2002-2002,11,7,1,88,30,14.66,121,72.72,0,0,0
155,A Ratra (IND),S,2002-2002,1,1,0,2,2,2,6,33.33,0,0,0
156,A Saud (NEPAL),H,2022-2022,3,3,0,60,51,20,116,51.72,0,1,1
157,A Saud (NEPAL),A,2022-2022,2,2,0,47,29,23.5,96,48.95,0,0,0
158,A Saud (NEPAL),N,2022-2022,2,2,0,18,18,9,47,38.29,0,0,1
159,A Saud (NEPAL),C,2022-2022,7,7,0,125,51,17.85,259,48.26,0,1,2
160,A Saud (NEPAL),O,2022-2023,9,9,0,174,51,19.33,348,50,0,1,2
161,A Shahzad (ENG),H,2010-2010,2,1,0,5,5,5,9,55.55,0,0,0
162,A Shahzad (ENG),A,2010-2011,9,7,2,34,9,6.8,51,66.66,0,0,0
163,A Shahzad (ENG),C,2010-2011,11,8,2,39,9,6.5,60,65,0,0,0
164,A Shahzad (ENG),B,2010-2011,3,2,1,7,6*,7,5,140,0,0,0
165,A Shahzad (ENG),S,2010-2011,7,6,1,32,9,6.4,55,58.18,0,0,0
166,A Shahzad (ENG),O,2010-2010,1,-,-,-,-,-,-,-,-,-,-
167,A Shamshudeen (CAN),A,2007-2007,1,1,0,3,3,3,28,10.71,0,0,0
168,A Shamshudeen (CAN),C,2007-2007,1,1,0,3,3,3,28,10.71,0,0,0
169,A Shamshudeen (CAN),O,2007-2007,1,1,0,3,3,3,28,10.71,0,0,0
170,A Sharafu (UAE),H,2021-2023,7,7,0,44,21,6.28,71,61.97,0,0,2
171,A Sharafu (UAE),A,2022-2022,5,4,0,101,35,25.25,166,60.84,0,0,0
172,A Sharafu (UAE),N,2022-2022,2,1,0,22,22,22,25,88,0,0,0
173,A Sharafu (UAE),C,2021-2023,14,12,0,167,35,13.91,262,63.74,0,0,2
174,A Sharafu (UAE),O,2021-2023,14,12,0,167,35,13.91,262,63.74,0,0,2
175,A Sharma (UAE),N,2023-2023,1,1,0,0,0,0,2,0,0,0,1
176,A Sharma (UAE),C,2023-2023,1,1,0,0,0,0,2,0,0,0,1
177,A Sharma (UAE),O,2023-2023,7,7,0,136,57,19.42,178,76.4,0,1,1
178,A Symonds (AUS),H,2000-2008,83,68,7,1768,151,28.98,1896,93.24,1,10,10
179,A Symonds (AUS),A,1998-2008,73,61,12,2122,156,43.3,2295,92.46,3,12,4
180,A Symonds (AUS),N,1999-2009,42,32,14,1198,143*,66.55,1313,91.24,2,8,1
181,A Symonds (AUS),C,1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15
182,A Symonds (AUS),B,1999-2007,35,29,9,1066,107*,53.3,1183,90.1,2,6,2
183,A Symonds (AUS),S,2000-2008,126,102,17,3141,156,36.95,3269,96.08,4,17,13
184,A Symonds (AUS),O,1998-2009,37,30,7,881,87,38.3,1052,83.74,0,7,0
185,A Turner (AUS),H,1975-1975,1,1,0,46,46,46,50,92,0,0,0
186,A Turner (AUS),A,1975-1975,1,1,0,7,7,7,20,35,0,0,0
187,A Turner (AUS),N,1975-1975,4,4,0,194,101,48.5,239,81.17,1,0,0
188,A Turner (AUS),C,1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0
189,A Turner (AUS),S,1975-1975,6,6,0,247,101,41.16,309,79.93,1,0,0
190,A Vala (PNG),H,2017-2022,6,6,0,165,64,27.5,234,70.51,0,1,1
191,A Vala (PNG),A,2016-2023,23,23,1,837,70,38.04,1126,74.33,0,6,2
192,A Vala (PNG),N,2014-2023,37,37,0,1001,104,27.05,1532,65.33,1,5,2
193,A Vala (PNG),C,2014-2023,66,66,1,2003,104,30.81,2892,69.26,1,12,5
194,A Vala (PNG),S,2014-2014,2,2,0,16,10,8,23,69.56,0,0,0
195,A Vala (PNG),O,2016-2023,64,64,1,1987,104,31.53,2869,69.25,1,12,5
196,A van der Merwe (IRE),H,2010-2011,3,-,-,-,-,-,-,-,-,-,-
197,A van der Merwe (IRE),A,2010-2010,6,6,2,15,8,3.75,25,60,0,0,2
198,A van der Merwe (IRE),C,2010-2011,9,6,2,15,8,3.75,25,60,0,0,2
199,A van der Merwe (IRE),O,2010-2011,9,6,2,15,8,3.75,25,60,0,0,2
200,A Zampa (AUS),H,2016-2022,23,10,4,77,22,12.83,107,71.96,0,0,1
201,A Zampa (AUS),A,2016-2023,43,24,9,138,36,9.2,238,57.98,0,0,2
202,A Zampa (AUS),N,2016-2019,13,3,1,1,1,0.5,4,25,0,0,1
203,A Zampa (AUS),C,2016-2023,79,37,14,216,36,9.39,349,61.89,0,0,4
204,A Zampa (AUS),B,2016-2023,19,8,3,34,10*,6.8,57,59.64,0,0,1
205,A Zampa (AUS),S,2016-2022,44,23,8,129,22,8.6,207,62.31,0,0,2
206,A Zampa (AUS),O,2016-2022,16,6,3,53,36,17.66,85,62.35,0,0,1
207,AA Donald (SA),H,1992-2003,63,11,5,19,6,3.16,56,33.92,0,0,2
208,AA Donald (SA),A,1991-2002,51,17,9,45,11,5.62,114,39.47,0,0,6
209,AA Donald (SA),N,1992-2002,50,12,4,31,13,3.87,109,28.44,0,0,4
210,AA Donald (SA),C,1991-2003,164,40,18,95,13,4.31,279,34.05,0,0,12
211,AA Donald (SA),B,1991-2002,20,4,2,6,5*,3,37,16.21,0,0,2
212,AA Donald (SA),S,1992-2003,117,26,11,75,13,5,204,36.76,0,0,6
213,AA Donald (SA),O,1992-2002,27,10,5,14,5*,2.8,38,36.84,0,0,4
214,AA Mallett (AUS),H,1971-1975,2,-,-,-,-,-,-,-,-,-,-
215,AA Mallett (AUS),A,1972-1974,4,2,1,14,8,14,35,40,0,0,0
216,AA Mallett (AUS),N,1975-1975,3,1,0,0,0,0,1,0,0,0,1
217,AA Mallett (AUS),C,1971-1975,9,3,1,14,8,7,36,38.88,0,0,1
218,AA Mallett (AUS),S,1971-1975,9,3,1,14,8,7,36,38.88,0,0,1
219,AA Mulla (CAN),H,2007-2008,4,4,0,45,15,11.25,88,51.13,0,0,0
220,AA Mulla (CAN),A,2007-2009,5,5,0,37,25,7.4,31,119.35,0,0,1
221,AA Mulla (CAN),N,2006-2009,15,15,0,400,58,26.66,476,84.03,0,1,1
222,AA Mulla (CAN),C,2006-2009,24,24,0,482,58,20.08,595,81,0,1,2
223,AA Mulla (CAN),S,2006-2009,4,4,0,86,36,21.5,108,79.62,0,0,0
224,AA Mulla (CAN),O,2007-2009,20,20,0,396,58,19.8,487,81.31,0,1,2
225,AA Noffke (AUS),H,2008-2008,1,-,-,-,-,-,-,-,-,-,-
226,AA Noffke (AUS),C,2008-2008,1,-,-,-,-,-,-,-,-,-,-
227,AA Noffke (AUS),S,2008-2008,1,-,-,-,-,-,-,-,-,-,-
228,AA Obanda (KENYA),H,2007-2012,15,13,2,588,96*,53.45,788,74.61,0,6,0
229,AA Obanda (KENYA),A,2008-2013,19,17,0,391,65,23,566,69.08,0,2,1
230,AA Obanda (KENYA),N,2009-2014,15,15,0,327,89,21.8,410,79.75,0,1,1
231,AA Obanda (KENYA),C,2007-2014,49,45,2,1306,96*,30.37,1764,74.03,0,9,2
232,AA Obanda (KENYA),B,2011-2011,3,3,0,43,23,14.33,65,66.15,0,0,0
233,AA Obanda (KENYA),S,2008-2014,6,6,0,170,89,28.33,206,82.52,0,1,1
234,AA Obanda (KENYA),O,2007-2013,40,36,2,1093,96*,32.14,1493,73.2,0,8,1
235,AA Paradkar (USA),N,2021-2021,2,2,1,15,13*,15,15,100,0,0,0
236,AA Paradkar (USA),C,2021-2021,2,2,1,15,13*,15,15,100,0,0,0
237,AA Paradkar (USA),O,2021-2023,4,4,1,39,24,13,50,78,0,0,1
238,AA Shafique (OMA),A,2023-2023,1,1,0,13,13,13,33,39.39,0,0,0
239,AA Shafique (OMA),N,2023-2023,1,-,-,-,-,-,-,-,-,-,-
240,AA Shafique (OMA),C,2023-2023,2,1,0,13,13,13,33,39.39,0,0,0
241,AA Shafique (OMA),O,2023-2023,2,1,0,13,13,13,33,39.39,0,0,0
242,Aamer Hameed (PAK),H,1977-1978,2,-,-,-,-,-,-,-,-,-,-
243,Aamer Hameed (PAK),C,1977-1978,2,-,-,-,-,-,-,-,-,-,-
244,Aamer Hameed (PAK),O,1977-1978,2,-,-,-,-,-,-,-,-,-,-
245,Aamer Hanif (PAK),H,1995-1995,3,2,1,55,36*,55,67,82.08,0,0,0
246,Aamer Hanif (PAK),N,1993-1995,2,2,1,34,17*,34,61,55.73,0,0,0
247,Aamer Hanif (PAK),C,1993-1995,5,4,2,89,36*,44.5,128,69.53,0,0,0
248,Aamer Hanif (PAK),O,1993-1995,5,4,2,89,36*,44.5,128,69.53,0,0,0
249,Aamer Malik (PAK),H,1994-1994,1,1,0,20,20,20,34,58.82,0,0,0
250,Aamer Malik (PAK),A,1988-1990,13,13,0,246,90,18.92,495,49.69,0,2,1
251,Aamer Malik (PAK),N,1988-1989,10,9,1,290,77,36.25,460,63.04,0,3,0
252,Aamer Malik (PAK),C,1988-1994,24,23,1,556,90,25.27,989,56.21,0,5,1
253,Aamer Malik (PAK),B,1988-1989,7,6,1,163,77,32.6,257,63.42,0,2,0
254,Aamer Malik (PAK),S,1989-1990,12,12,0,321,90,26.75,599,53.58,0,3,1
255,Aamer Malik (PAK),O,1988-1994,5,5,0,72,20,14.4,133,54.13,0,0,0
256,Aamer Nazir (PAK),H,1993-1993,1,-,-,-,-,-,-,-,-,-,-
257,Aamer Nazir (PAK),A,1993-1995,5,2,1,4,3,4,4,100,0,0,0
258,Aamer Nazir (PAK),N,1993-1995,3,1,1,9,9*,-,16,56.25,0,0,0
259,Aamer Nazir (PAK),C,1993-1995,9,3,2,13,9*,13,20,65,0,0,0
260,Aamer Nazir (PAK),O,1993-1995,9,3,2,13,9*,13,20,65,0,0,0
261,Aamer Sohail (PAK),H,1991-2000,29,29,1,886,111,31.64,1249,70.93,1,6,2
262,Aamer Sohail (PAK),A,1992-1998,56,55,2,1647,87,31.07,2573,64.01,0,12,4
263,Aamer Sohail (PAK),N,1990-1999,71,71,2,2247,134,32.56,3475,64.66,4,13,4
264,Aamer Sohail (PAK),C,1990-2000,156,155,5,4780,134,31.86,7297,65.5,5,31,10
265,Aamer Sohail (PAK),B,1994-1998,17,17,1,335,55,20.93,493,67.95,0,1,2
266,Aamer Sohail (PAK),S,1992-1998,57,57,0,1759,114,30.85,2752,63.91,2,14,4
267,Aamer Sohail (PAK),O,1990-2000,82,81,4,2686,134,34.88,4052,66.28,3,16,4
268,Aamer Yamin (PAK),A,2015-2018,4,3,2,95,62,95,96,98.95,0,1,0
269,Aamer Yamin (PAK),C,2015-2018,4,3,2,95,62,95,96,98.95,0,1,0
270,Aamer Yamin (PAK),S,2018-2018,1,1,1,32,32*,-,27,118.51,0,0,0
271,Aamer Yamin (PAK),O,2015-2015,3,2,1,63,62,63,69,91.3,0,1,0
272,Aamir Kaleem (OMA),H,2022-2022,1,1,0,5,5,5,8,62.5,0,0,0
273,Aamir Kaleem (OMA),A,2019-2019,2,1,0,13,13,13,16,81.25,0,0,0
274,Aamir Kaleem (OMA),C,2019-2022,3,2,0,18,13,9,24,75,0,0,0
275,Aamir Kaleem (OMA),O,2019-2022,3,2,0,18,13,9,24,75,0,0,0
276,Aaqib Javed (PAK),H,1989-1998,30,4,0,51,21,12.75,69,73.91,0,0,0
277,Aaqib Javed (PAK),A,1988-1998,49,18,12,57,12*,9.5,102,55.88,0,0,3
278,Aaqib Javed (PAK),N,1988-1998,84,29,14,159,45*,10.6,285,55.78,0,0,4
279,Aaqib Javed (PAK),C,1988-1998,163,51,26,267,45*,10.68,456,58.55,0,0,7
280,Aaqib Javed (PAK),B,1989-1998,16,5,2,21,6*,7,32,65.62,0,0,1
281,Aaqib Javed (PAK),S,1988-1995,63,23,16,69,12*,9.85,157,43.94,0,0,3
282,Aaqib Javed (PAK),O,1989-1998,84,23,8,177,45*,11.8,267,66.29,0,0,3
283,Aarif Sheikh (NEPAL),H,2020-2023,14,10,1,246,52,27.33,367,67.02,0,1,0
284,Aarif Sheikh (NEPAL),A,2018-2023,16,15,2,262,63,20.15,438,59.81,0,1,4
285,Aarif Sheikh (NEPAL),N,2018-2023,12,11,2,290,66,32.22,488,59.42,0,3,0
286,Aarif Sheikh (NEPAL),C,2018-2023,42,36,5,798,66,25.74,1293,61.71,0,5,4
287,Aarif Sheikh (NEPAL),O,2018-2023,47,40,5,878,66,25.08,1406,62.44,0,6,4
288,Aaron Jones (USA),H,2019-2022,12,12,0,475,97,39.58,689,68.94,0,3,0
289,Aaron Jones (USA),A,2019-2023,11,11,1,443,123*,44.3,541,81.88,1,2,0
290,Aaron Jones (USA),N,2019-2023,15,15,2,420,74,32.3,637,65.93,0,4,2
291,Aaron Jones (USA),C,2019-2023,38,38,3,1338,123*,38.22,1867,71.66,1,9,2
292,Aaron Jones (USA),O,2019-2023,43,43,3,1454,123*,36.35,2054,70.78,1,10,2
293,Aasif Sheikh (NEPAL),H,2022-2023,13,13,2,379,110,34.45,444,85.36,1,3,4
294,Aasif Sheikh (NEPAL),A,2021-2023,11,11,0,377,90,34.27,459,82.13,0,3,0
295,Aasif Sheikh (NEPAL),N,2021-2023,13,13,1,325,86*,27.08,474,68.56,0,2,0
296,Aasif Sheikh (NEPAL),C,2021-2023,37,37,3,1081,110,31.79,1377,78.5,1,8,4
297,Aasif Sheikh (NEPAL),O,2021-2023,41,41,3,1187,110,31.23,1531,77.53,1,9,5
298,AAW Gunawardena (SL),A,1994-1994,1,1,0,2,2,2,10,20,0,0,0
